Description,Word_No,Valence_Mean,Valence_Mean_SD,Arousal_Mean,Arousal_Mean_SD,Dominance_Mean,Dominance_Mean_SD,Word_Frequency,POS
nourish,907,6.46,(1.69),4.29,(2.51),5.8,(1.62),.,PROPN
nude,520,6.82,(1.63),6.41,(2.09),5.96,(2.29),20,NOUN
nuisance,908,3.27,(1.86),4.49,(2.69),4.36,(1.73),5,PROPN
nun,909,4.93,(1.89),2.93,(1.80),4.93,(1.69),2,PROPN
nurse,538,6.08,(2.08),4.84,(2.04),4.84,(2.20),17,NOUN
nursery,910,5.73,(2.30),4.04,(2.74),5.18,(2.23),13,PROPN
obesity,911,2.73,(1.85),3.87,(2.82),3.74,(2.45),5,NOUN
obey,912,4.52,(1.88),4.23,(1.72),4.26,(2.40),8,NOUN
obnoxious,913,3.5,(2.18),4.74,(2.42),5.39,(2.20),5,PROPN
obscene,914,4.23,(2.30),5.04,(2.30),4.48,(1.91),2,PROPN
obsession,915,4.52,(2.13),6.41,(2.13),4.77,(2.38),5,VERB
ocean,297,7.12,(1.72),4.95,(2.79),5.53,(2.75),34,VERB
odd,916,4.82,(2.04),4.27,(2.46),4.77,(1.89),44,PROPN
offend,917,2.76,(1.50),5.56,(2.06),3.73,(2.03),4,PROPN
office,568,5.24,(1.59),4.08,(1.92),5.59,(1.89),255,VERB
opinion,298,6.28,(1.45),4.89,(2.46),5.53,(1.93),96,PROPN
optimism,918,6.95,(2.24),5.34,(2.58),6.61,(2.06),15,PROPN
option,919,6.49,(1.31),4.74,(2.23),6.34,(1.80),5,NUM
orchestra,299,6.02,(1.89),3.52,(2.29),5.17,(2.14),60,NOUN
orgasm,920,8.32,(1.31),8.1,(1.45),6.83,(2.18),7,PROPN
outdoors,521,7.47,(1.80),5.92,(2.55),6.27,(2.24),6,NOUN
outrage,921,3.52,(2.12),6.83,(2.26),5.26,(2.72),4,ADV
outstanding,922,7.75,(1.75),6.24,(2.59),6.4,(2.29),37,NOUN
overcast,923,3.65,(1.61),3.46,(1.92),4.2,(1.79),9,PROPN
overwhelmed,300,4.19,(2.61),7.0,(2.37),3.89,(2.58),4,PROPN
owl,522,5.8,(1.31),3.98,(1.87),5.82,(1.62),2,ADJ
