Description,Word_No,Valence_Mean,Valence_Mean_SD,Arousal_Mean,Arousal_Mean_SD,Dominance_Mean,Dominance_Mean_SD,Word_Frequency,POS
building,550,5.56,(1.23),4.08,(2.12),5.24,(1.54),160,PROPN
bullet,673,4.2,(1.96),5.45,(1.99),5.2,(2.40),28,PROPN
bunny,54,6.71,(1.05),4.38,(2.60),4.88,(2.06),1,NOUN
burdened,55,2.71,(0.91),5.46,(2.26),5.62,(2.14),4,PROPN
burial,56,2.62,(1.85),4.64,(2.56),3.92,(1.98),11,PROPN
burn,586,3.12,(1.99),6.4,(1.85),4.52,(1.98),15,PROPN
bus,541,4.72,(1.28),3.32,(1.99),5.04,(1.93),34,PROPN
busybody,674,4.81,(1.21),4.29,(1.93),4.57,(1.60),.,PROPN
butter,57,5.4,(0.97),3.3,(1.77),4.5,(1.08),27,PROPN
butterfly,58,6.58,(1.00),3.45,(2.02),4.55,(2.30),2,PROPN
cabinet,675,5.1,(0.31),3.45,(1.70),4.7,(1.81),17,NOUN
cake,59,7.27,(1.16),5.13,(2.26),5.2,(2.14),9,NOUN
cancer,60,1.75,(0.97),6.83,(2.37),3.33,(3.06),25,VERB
candy,61,6.0,(1.34),4.1,(2.27),5.0,(1.84),16,PROPN
cane,677,3.58,(1.95),4.42,(1.87),4.47,(2.17),12,VERB
cannon,678,5.71,(2.39),5.14,(2.85),5.48,(2.40),7,NOUN
capable,62,7.0,(1.31),5.6,(1.68),5.73,(1.98),66,PROPN
car,551,7.84,(1.28),5.64,(2.16),6.6,(2.10),274,NOUN
carcass,679,4.21,(1.81),5.11,(1.79),5.53,(1.65),7,VERB
carefree,63,7.75,(1.36),2.67,(2.42),5.33,(2.71),9,VERB
caress,64,7.58,(1.31),4.5,(3.32),6.08,(1.93),1,VERB
cash,503,8.28,(0.94),7.08,(2.77),6.76,(2.31),36,PROPN
casino,680,6.9,(1.79),6.76,(1.97),5.14,(2.22),2,PROPN
cat,504,5.33,(2.60),4.08,(2.32),6.54,(2.00),.,NOUN
cell,587,3.33,(1.93),3.67,(2.44),4.12,(2.36),65,NOUN
cellar,681,4.45,(1.57),4.3,(2.45),4.9,(1.94),26,VERB
cemetery,65,3.42,(1.38),4.45,(2.25),4.73,(2.05),15,PROPN
chair,66,5.3,(0.95),3.4,(1.84),4.7,(0.67),66,NOUN
champ,682,7.22,(1.40),6.22,(1.48),6.28,(1.87),1,PROPN
champion,67,8.42,(1.08),4.83,(3.43),6.08,(3.45),23,NOUN
chance,683,6.42,(1.61),5.63,(2.43),4.74,(1.76),131,PROPN
chaos,684,4.5,(2.16),6.3,(1.81),4.0,(1.59),17,NOUN
charm,68,6.67,(1.63),5.47,(2.42),5.87,(1.96),26,VERB
cheer,69,7.7,(1.38),5.95,(2.37),5.55,(1.99),8,NOUN
child,70,6.15,(2.23),5.75,(1.77),5.35,(2.25),213,VERB
chin,685,5.36,(1.43),3.64,(2.11),5.41,(1.71),27,NOUN
chocolate,505,6.8,(1.83),4.88,(2.67),5.36,(2.06),9,VERB
christmas,686,7.58,(1.61),6.05,(2.68),5.37,(2.27),27,NOUN
church,71,5.29,(2.67),4.69,(3.09),4.62,(2.90),348,PROPN
circle,687,5.3,(1.17),3.65,(1.93),5.16,(1.30),60,PROPN
circus,72,6.76,(1.52),5.38,(2.47),5.0,(2.10),7,NOUN
city,73,5.67,(1.50),4.53,(2.07),4.53,(1.73),393,PROPN
cliff,553,4.96,(2.23),5.88,(2.30),5.04,(1.84),11,VERB
clock,688,4.86,(1.73),3.95,(2.38),4.59,(1.76),20,PROPN
clothing,74,5.93,(2.16),4.15,(2.91),5.33,(2.06),20,PROPN
clouds,533,6.42,(2.19),3.46,(2.28),5.46,(1.79),38,PROPN
clumsy,689,4.06,(2.07),4.78,(2.29),4.06,(1.73),6,VERB
coarse,690,4.65,(1.09),4.5,(1.57),5.05,(1.32),10,NOUN
coast,691,6.06,(1.70),4.83,(2.46),5.71,(1.79),61,PROPN
cockroach,75,3.73,(2.05),5.33,(2.66),5.47,(2.50),2,PROPN
coffin,76,3.0,(2.11),4.3,(2.79),4.2,(2.53),7,PROPN
coin,692,5.76,(2.32),4.48,(2.75),5.86,(1.96),10,PROPN
cold,693,3.9,(1.94),5.4,(1.85),4.65,(1.76),171,PROPN
color,694,7.05,(1.65),4.63,(2.71),6.32,(1.97),141,NOUN
column,695,5.15,(1.04),3.7,(2.05),5.25,(1.71),71,PROPN
comedy,77,8.0,(0.95),6.36,(2.06),4.82,(1.99),39,PROPN
comfort,696,6.45,(2.21),4.35,(2.87),5.7,(2.08),43,VERB
computer,552,6.12,(1.92),4.52,(2.06),5.08,(2.06),13,NOUN
concentrate,78,4.83,(1.11),4.73,(1.62),4.82,(1.47),11,NOUN
confident,79,7.73,(1.28),6.53,(2.50),7.2,(2.40),16,NOUN
confused,80,3.27,(0.65),5.55,(1.92),4.33,(1.61),44,PROPN
consoled,81,5.71,(1.65),4.94,(2.02),4.81,(1.83),2,NOUN
contempt,82,4.2,(1.87),4.9,(0.88),5.5,(1.18),15,PROPN
contents,83,4.73,(1.03),4.07,(2.28),4.87,(1.19),16,VERB
context,84,5.2,(1.47),4.35,(1.87),4.9,(0.91),2,NOUN
controlling,85,4.53,(2.26),5.6,(2.13),6.07,(2.84),23,NOUN
cook,697,6.05,(1.22),4.21,(1.72),5.42,(1.43),47,PROPN
cord,698,4.95,(1.31),3.84,(1.95),5.0,(1.46),6,NOUN
cork,699,5.16,(1.34),3.89,(1.94),4.89,(0.94),9,NOUN
corner,700,4.33,(1.32),3.62,(1.99),3.86,(1.85),115,PROPN
corpse,86,2.5,(1.18),4.2,(2.53),2.6,(1.65),7,NOUN
corridor,701,4.86,(1.28),3.62,(2.48),5.1,(1.73),17,PROPN
corrupt,702,4.15,(2.54),5.05,(2.35),4.9,(2.22),8,NOUN
cottage,87,5.87,(0.99),4.2,(2.60),4.93,(1.58),19,PROPN
couple,506,6.84,(1.77),5.36,(2.40),6.08,(1.91),122,VERB
cow,554,5.72,(1.62),3.12,(2.13),5.8,(1.41),29,PROPN
coward,703,2.75,(1.77),3.9,(2.10),2.75,(1.52),8,PROPN
cozy,88,7.53,(1.36),3.73,(2.34),4.67,(2.23),1,PROPN
crash,89,2.6,(1.51),7.0,(2.26),4.0,(2.11),20,NOUN
crime,704,3.55,(2.44),5.0,(2.96),4.68,(2.38),34,NOUN
criminal,705,3.25,(1.65),3.86,(2.33),3.65,(1.73),24,PROPN
crisis,706,4.17,(2.43),4.89,(2.79),4.72,(1.96),82,NOUN
crown,90,6.2,(1.40),3.4,(2.59),5.1,(2.13),19,VERB
crucify,91,2.53,(1.68),5.8,(2.98),3.8,(2.11),2,NOUN
crude,707,3.74,(1.59),5.0,(2.11),4.84,(1.77),15,PROPN
cruel,92,2.64,(2.41),5.27,(2.46),4.93,(2.79),15,PROPN
crushed,93,2.83,(2.29),5.73,(2.69),4.73,(3.10),10,PROPN
crutch,708,3.94,(1.63),4.5,(1.76),3.67,(1.78),1,NOUN
cuddle,94,7.3,(2.15),5.1,(2.69),5.75,(2.29),.,VERB
cuisine,709,6.89,(1.64),4.83,(1.95),5.5,(1.34),1,NOUN
curious,95,6.8,(1.23),5.8,(2.10),5.7,(1.95),46,VERB
curtains,710,5.0,(0.58),3.65,(1.98),5.11,(1.49),8,VERB
custom,96,5.53,(1.41),4.67,(2.23),4.87,(2.03),14,PROPN
cut,711,3.7,(1.89),4.75,(2.49),4.9,(2.17),192,NOUN
cute,97,7.24,(0.97),6.38,(2.16),4.88,(2.53),5,VERB
cyclone,98,4.35,(2.18),6.2,(2.95),5.1,(2.31),.,VERB
dagger,99,4.53,(1.81),5.47,(2.87),4.47,(1.84),1,VERB
damage,712,3.7,(1.75),5.05,(2.26),4.2,(1.99),33,PROPN
dancer,507,6.8,(1.53),5.32,(2.30),5.64,(1.73),31,NOUN
danger,713,4.56,(2.33),7.17,(1.65),4.56,(2.33),70,VERB
dark,714,4.9,(1.81),4.48,(1.81),4.38,(1.72),185,NOUN
dawn,715,6.1,(2.49),4.35,(2.78),4.95,(2.72),28,VERB
daylight,716,6.56,(2.28),5.17,(2.04),5.61,(2.15),15,NOUN
dazzle,717,7.33,(1.06),6.38,(2.01),5.19,(2.16),1,VERB
dead,588,2.48,(2.29),5.4,(2.84),2.96,(2.42),174,VERB
death,100,1.69,(1.14),4.41,(2.87),4.62,(2.25),277,PROPN
debt,101,2.4,(1.12),4.33,(2.66),3.0,(2.20),13,PROPN
deceit,718,3.26,(1.63),5.63,(2.45),4.63,(1.89),2,PROPN
decompose,102,3.95,(1.73),4.2,(2.40),4.45,(1.96),1,VERB
decorate,719,6.5,(1.36),5.0,(2.68),5.9,(2.02),2,PROPN
defeated,103,2.42,(1.50),4.35,(2.70),3.0,(2.10),15,PROPN
defiant,104,4.64,(1.86),5.27,(2.87),4.91,(1.22),3,VERB
deformed,720,2.95,(1.75),3.62,(2.18),4.29,(2.43),.,NOUN
delayed,721,3.15,(2.01),5.1,(2.17),3.4,(1.60),25,PROPN
delight,105,7.92,(1.31),5.73,(2.49),5.09,(2.02),29,NOUN
demon,106,3.2,(1.61),5.93,(3.01),5.07,(2.52),9,PROPN
dentist,589,3.56,(2.22),5.6,(2.55),3.6,(2.04),12,PROPN
depressed,107,2.33,(1.45),4.0,(2.33),2.87,(1.68),11,PROPN
depression,108,2.6,(2.21),4.55,(3.05),2.9,(2.07),24,PROPN
derelict,722,4.45,(1.93),4.1,(1.68),4.95,(1.73),1,PROPN
deserter,109,3.53,(2.13),4.8,(2.31),4.8,(2.31),.,NOUN
desire,508,7.72,(1.31),7.24,(1.92),6.2,(1.94),79,VERB
despairing,110,2.93,(2.05),5.6,(2.41),4.07,(2.25),4,PROPN
despise,111,2.08,(1.19),5.86,(2.35),5.38,(2.40),7,PROPN
destroy,112,4.0,(2.75),6.3,(2.91),6.1,(2.42),48,PROPN
destruction,723,4.78,(2.46),6.17,(2.53),5.11,(2.00),38,PROPN
detached,113,3.82,(2.04),4.19,(2.51),3.73,(1.91),12,PROPN
detail,724,5.73,(1.49),4.36,(2.36),5.45,(1.60),72,NOUN
detest,114,2.8,(1.55),5.8,(2.20),5.8,(2.10),1,VERB
devil,115,2.59,(2.12),5.06,(2.73),5.82,(2.60),25,VERB
devoted,116,7.1,(1.45),5.7,(1.77),4.9,(2.64),51,VERB
diamond,117,7.92,(1.38),5.0,(2.97),5.36,(2.76),8,VERB
dignified,118,6.82,(1.01),3.41,(1.97),6.06,(2.49),7,VERB
dinner,509,7.48,(1.19),5.52,(2.40),6.48,(1.78),91,PROPN
diploma,119,7.64,(1.12),5.64,(2.25),6.42,(2.47),.,PROPN
dirt,725,4.41,(1.92),3.41,(2.34),4.95,(2.36),43,VERB
dirty,590,3.88,(2.44),5.21,(2.75),4.83,(2.50),36,NOUN
disappoint,120,2.6,(1.50),4.6,(2.59),3.53,(2.20),.,NOUN
disaster,121,2.25,(1.33),6.05,(2.54),3.65,(1.90),26,VERB
discomfort,726,2.41,(1.50),3.73,(2.29),3.68,(2.57),7,PROPN
discouraged,122,3.0,(1.00),4.0,(2.33),3.2,(1.52),15,PROPN
disdainful,123,3.93,(1.71),4.67,(1.76),4.87,(1.81),2,PROPN
disgusted,124,2.6,(1.45),4.47,(2.47),4.8,(1.66),6,VERB
disloyal,125,2.38,(1.50),5.82,(2.63),4.81,(2.46),2,PROPN
displeased,126,2.76,(2.17),4.81,(2.40),4.75,(1.98),7,PROPN
distressed,127,2.0,(0.63),6.42,(2.15),5.0,(1.90),4,PROPN
disturb,727,3.67,(1.75),5.72,(1.96),4.06,(1.35),10,PROPN
diver,510,6.6,(1.63),4.96,(2.49),5.2,(1.91),1,NOUN
divorce,128,2.4,(1.85),5.3,(2.98),3.75,(2.47),29,NOUN
doctor,129,4.67,(2.29),5.53,(2.64),5.07,(2.63),100,NOUN
dog,511,7.68,(1.65),5.4,(2.99),6.44,(2.08),75,PROPN
doll,728,5.05,(1.65),3.37,(2.11),4.16,(2.19),10,NOUN
dollar,729,7.24,(2.05),6.43,(2.27),6.86,(2.20),46,NOUN
door,130,5.16,(1.50),4.32,(2.38),4.79,(1.58),312,VERB
dove,730,6.45,(1.47),4.55,(1.79),6.0,(1.62),4,VERB
dreadful,131,2.38,(2.00),5.71,(2.69),5.06,(1.84),10,NOUN
dream,132,6.47,(1.65),4.42,(2.50),4.84,(1.74),64,PROPN
dreary,731,3.24,(1.45),3.05,(2.13),3.81,(1.60),6,VERB
dress,133,5.87,(0.99),4.67,(1.72),4.6,(1.64),67,VERB
drown,591,1.96,(1.72),6.68,(2.64),2.76,(1.98),3,PROPN
dummy,732,3.0,(1.34),4.38,(2.18),3.48,(1.86),3,PROPN
dump,733,3.71,(2.03),4.38,(2.48),4.05,(1.80),4,VERB
dustpan,555,4.24,(1.74),3.36,(1.82),5.4,(1.68),.,VERB
earth,134,6.79,(1.72),4.08,(2.10),6.69,(2.10),150,NOUN
easy,734,7.09,(2.11),5.55,(2.39),7.18,(1.59),125,NOUN
easygoing,135,6.75,(1.42),4.0,(2.56),5.08,(1.83),1,NOUN
eat,136,8.0,(1.32),6.6,(2.29),6.0,(2.17),61,NOUN
ecstasy,735,8.14,(1.13),7.82,(1.44),7.1,(1.79),6,NOUN
education,137,6.55,(1.36),5.6,(2.44),5.85,(1.81),214,NOUN
egg,736,5.11,(1.63),3.63,(2.54),4.26,(2.38),12,NOUN
elated,138,7.47,(1.51),6.2,(2.11),5.53,(2.72),3,PROPN
elbow,737,4.9,(0.45),3.7,(2.00),4.8,(1.77),10,VERB
elegant,139,7.08,(1.56),4.92,(2.97),5.5,(2.35),14,PROPN
elevator,738,5.1,(0.64),3.57,(2.09),4.0,(1.59),12,NOUN
embarrassed,140,3.93,(2.12),5.87,(2.42),3.47,(2.67),8,VERB
embattled,141,5.0,(2.16),5.9,(2.23),5.1,(2.38),1,PROPN
employment,147,5.73,(2.05),5.33,(2.02),4.6,(1.59),47,PROPN
engaged,143,7.33,(1.50),6.07,(1.91),6.2,(1.66),47,PROPN
engine,148,5.27,(1.49),4.93,(2.19),5.13,(1.41),50,PROPN
enjoyment,145,7.7,(1.22),5.7,(2.70),6.35,(1.42),21,NOUN
ennui,146,5.17,(1.64),3.92,(2.43),5.0,(1.65),.,VERB
enraged,149,2.3,(1.64),7.9,(2.13),7.7,(2.45),1,NOUN
erotic,512,8.16,(1.07),7.72,(1.81),7.04,(1.90),8,PROPN
errand,150,4.36,(1.78),4.0,(1.91),5.62,(1.45),7,NOUN
event,740,6.41,(1.92),5.59,(2.52),5.73,(2.03),81,PROPN
evil,741,4.33,(2.70),6.56,(2.36),6.17,(1.58),72,PROPN
excellence,151,8.3,(0.82),4.7,(2.26),7.4,(2.17),15,NOUN
excitement,152,6.87,(2.36),6.93,(2.43),5.6,(1.84),32,PROPN
excuse,153,3.82,(1.88),4.88,(2.64),3.71,(2.31),27,NOUN
execution,154,3.27,(2.46),5.53,(2.77),4.27,(2.22),15,PROPN
exercise,155,6.93,(1.91),7.13,(2.20),6.07,(2.74),58,NOUN
fabric,742,5.21,(1.44),3.95,(1.82),4.79,(1.44),15,PROPN
face,556,6.12,(1.76),4.76,(2.37),5.28,(1.51),371,PROPN
failure,156,2.27,(1.22),4.0,(2.54),2.67,(1.95),89,NOUN
fall,743,3.86,(2.22),4.81,(2.54),4.29,(2.15),147,PROPN
FALSE,744,3.24,(1.58),3.27,(2.23),4.38,(1.66),29,ADP
fame,157,7.92,(1.31),5.17,(3.01),6.5,(2.28),18,PROPN
family,158,7.5,(1.79),5.0,(2.64),6.0,(1.86),331,NOUN
famous,745,7.39,(1.20),6.11,(2.47),6.61,(2.06),89,NOUN
fantasy,746,7.39,(1.50),6.0,(2.45),6.72,(1.93),14,NOUN
farm,557,5.4,(1.98),3.6,(1.94),5.68,(1.70),125,NOUN
fascinate,159,7.13,(2.23),6.07,(2.60),5.67,(1.63),3,VERB
fat,160,2.94,(2.11),2.82,(1.47),5.56,(2.76),60,NOUN
father,161,6.8,(2.18),5.47,(2.97),3.8,(2.91),383,VERB
fatigued,162,3.56,(1.26),2.69,(1.99),4.35,(2.21),3,VERB
fault,747,3.14,(1.58),3.73,(1.91),4.09,(2.00),22,PROPN
favor,748,6.58,(1.54),4.89,(1.91),5.44,(1.89),78,PROPN
fear,592,3.75,(2.45),6.71,(2.48),3.88,(2.36),127,VERB
fearful,163,2.1,(0.99),5.5,(2.32),3.5,(1.78),13,PROPN
feeble,164,3.59,(1.70),3.94,(2.44),2.88,(1.65),8,PROPN
festive,749,7.26,(1.33),6.63,(2.14),5.67,(2.40),2,PROPN
fever,750,3.05,(1.61),3.8,(1.82),3.68,(1.77),19,VERB
field,558,6.08,(1.26),4.04,(2.26),5.68,(1.77),274,NOUN
fight,751,4.81,(2.73),6.9,(2.36),5.71,(2.39),98,NOUN
filth,165,3.12,(1.93),3.94,(1.53),4.5,(1.55),2,PROPN
finger,752,5.29,(1.42),4.05,(2.16),5.24,(2.00),40,PROPN
fire,166,4.2,(1.48),6.5,(2.32),5.2,(1.40),187,NOUN
fireworks,513,7.8,(1.12),6.56,(2.16),5.56,(2.06),5,VERB
fish,559,6.2,(2.22),3.84,(2.53),6.48,(1.73),35,VERB
flabby,167,4.16,(1.80),3.68,(2.31),4.37,(1.26),.,PROPN
flag,753,5.9,(1.89),5.4,(2.19),5.65,(1.98),16,NOUN
flirt,754,7.48,(1.03),6.9,(1.64),6.45,(2.06),1,NOUN
flood,755,3.75,(1.52),5.9,(2.02),3.9,(2.34),19,PROPN
flower,168,6.06,(1.53),4.6,(2.23),4.73,(1.75),23,PROPN
foam,756,5.45,(1.67),4.25,(2.24),5.1,(1.59),37,VERB
food,514,7.88,(0.97),5.4,(2.47),6.72,(2.03),147,PROPN
foot,757,5.06,(0.80),3.5,(1.86),5.17,(1.72),70,NOUN
fork,560,5.48,(1.08),4.04,(2.21),5.83,(1.27),14,NOUN
foul,169,2.94,(1.14),5.18,(2.53),4.71,(1.69),4,PROPN
fragrance,170,6.24,(1.35),5.75,(2.46),5.62,(1.82),6,PROPN
fraud,171,2.7,(1.70),5.3,(1.89),4.7,(2.63),8,PROPN
free,172,7.83,(1.85),5.09,(3.02),5.73,(2.57),260,VERB
freedom,173,7.53,(1.62),6.25,(2.05),6.38,(2.06),128,PROPN
friend,174,7.18,(1.07),6.38,(1.96),6.25,(2.02),133,PROPN
friendly,175,8.29,(0.99),4.77,(2.42),6.15,(2.48),61,PROPN
frigid,758,3.44,(1.34),4.61,(2.62),4.44,(1.85),5,PROPN
frog,176,5.87,(1.25),4.8,(2.18),5.6,(1.59),1,PROPN
frustrated,177,2.7,(1.56),5.55,(2.61),3.7,(1.98),10,VERB
fun,759,8.21,(1.36),7.11,(2.00),6.79,(1.84),44,PROPN
funeral,178,1.64,(0.84),4.0,(2.77),2.71,(2.30),33,ADV
fungus,179,3.83,(1.19),4.18,(2.09),4.36,(1.80),2,NOUN
fur,180,5.5,(1.68),3.55,(2.38),4.82,(2.14),13,PROPN
game,760,7.58,(0.77),6.32,(2.11),5.74,(1.82),123,PROPN
gangrene,181,2.73,(2.15),5.93,(2.91),3.6,(2.38),.,PROPN
garbage,182,3.45,(1.99),4.3,(2.54),4.75,(1.74),7,PROPN
garden,761,6.43,(1.91),4.76,(2.26),6.19,(1.54),60,PROPN
garment,762,5.47,(1.26),3.95,(2.17),4.84,(2.03),6,PROPN
garter,534,6.92,(1.53),6.08,(2.14),6.04,(1.54),2,PROPN
gender,763,5.6,(1.05),4.35,(2.18),5.58,(1.92),2,PROPN
gentle,183,6.9,(1.37),2.9,(2.08),4.7,(2.41),27,PROPN
germs,764,2.9,(1.30),4.29,(2.24),3.9,(1.51),1,PROPN
gift,184,6.6,(2.82),5.27,(2.87),5.13,(2.85),33,PROPN
girl,185,7.6,(1.57),5.85,(2.52),5.85,(1.98),220,PROPN
glacier,186,5.67,(1.18),4.53,(1.85),4.8,(1.97),1,PROPN
glamour,187,6.13,(1.77),4.6,(2.23),5.6,(2.23),5,PROPN
glass,765,4.5,(1.72),4.44,(2.18),5.28,(1.84),99,PROPN
gloom,188,2.08,(1.44),4.17,(2.69),4.0,(2.00),14,NOUN
glory,189,7.4,(1.59),6.13,(2.39),7.0,(2.00),21,PROPN
god,190,8.35,(1.18),6.1,(2.86),5.85,(3.15),318,NOUN
gold,191,7.92,(1.00),6.45,(2.16),5.73,(2.10),52,NOUN
golfer,535,5.76,(2.13),3.84,(2.53),5.68,(1.84),3,PROPN
good,766,7.33,(1.28),5.05,(3.09),5.78,(1.99),807,PROPN
gossip,767,3.75,(2.02),5.1,(2.22),3.9,(1.86),13,PROPN
graduate,192,8.0,(1.37),7.56,(2.03),6.69,(2.94),30,PROPN
grass,768,5.85,(1.27),4.85,(1.93),5.55,(1.39),53,PROPN
grateful,193,7.33,(0.82),4.27,(1.75),6.2,(1.61),25,NOUN
greed,769,4.14,(2.22),5.38,(2.33),5.24,(2.51),3,PROPN
green,194,5.3,(2.00),4.8,(2.44),4.2,(1.99),116,PROPN
greet,770,6.95,(1.47),5.29,(1.98),6.24,(1.84),7,PROPN
grenade,771,3.9,(1.92),5.48,(2.54),4.76,(2.34),3,PROPN
grief,195,1.8,(1.40),4.7,(2.83),4.4,(2.41),10,PROPN
grime,772,3.95,(1.18),4.37,(2.31),4.72,(1.41),.,NOUN
grin,773,6.89,(2.16),5.7,(2.87),6.32,(2.00),13,PROPN
gripe,774,3.25,(1.41),4.95,(2.33),4.25,(1.97),.,PROPN
guillotine,196,4.0,(2.45),6.25,(2.77),5.0,(1.95),.,PROPN
guilty,197,2.75,(1.29),5.05,(2.80),3.5,(1.70),29,PROPN
gun,593,4.72,(2.57),7.08,(1.96),4.36,(2.97),118,NOUN
gymnast,515,6.44,(1.73),4.48,(2.28),5.32,(1.86),1,NOUN
habit,775,4.15,(1.53),3.85,(1.81),4.4,(2.01),23,PROPN
hairdryer,561,4.88,(0.78),3.8,(1.66),5.24,(0.78),.,PROPN
hairpin,776,5.4,(1.57),3.5,(2.48),5.11,(1.56),1,PROPN
hamburger,777,6.95,(1.51),4.95,(2.24),5.58,(0.96),6,PROPN
hammer,198,4.75,(1.25),4.65,(2.35),5.25,(2.20),9,PROPN
hand,778,5.84,(1.34),4.6,(2.16),5.84,(1.42),431,VERB
handicap,779,3.62,(2.06),3.68,(2.46),4.14,(2.56),6,PROPN
handsome,199,7.5,(1.51),4.42,(2.87),5.58,(2.87),40,PROPN
haphazard,780,3.64,(1.50),3.68,(2.17),4.14,(1.98),2,PROPN
happy,200,8.25,(1.39),7.0,(2.73),6.73,(2.28),98,PROPN
hard,781,5.68,(2.00),5.42,(2.19),5.84,(2.09),202,PROPN
hardship,782,3.0,(1.75),4.7,(2.23),5.15,(2.18),9,PROPN
hat,783,5.58,(1.39),4.53,(2.12),5.47,(1.50),56,PROPN
hate,201,2.92,(2.31),7.33,(2.35),5.42,(2.68),42,VERB
hatred,202,2.53,(2.26),6.47,(2.72),4.6,(2.47),20,PROPN
hawk,536,6.33,(1.61),4.08,(2.34),5.71,(1.76),14,PROPN
hay,784,5.19,(1.63),4.81,(2.75),5.81,(1.89),19,NOUN
headache,203,2.24,(1.15),5.18,(2.63),4.24,(1.99),5,VERB
headlight,785,5.05,(1.77),3.77,(2.41),4.76,(1.73),.,PROPN
heal,786,6.71,(1.23),4.86,(1.90),5.29,(1.59),2,PROPN
health,204,6.93,(1.33),5.33,(2.79),5.87,(1.77),105,PROPN
heart,787,6.9,(1.58),6.14,(2.10),5.48,(2.04),173,VERB
heaven,205,7.07,(2.34),6.53,(2.83),6.2,(2.31),43,PROPN
hell,788,2.85,(1.69),4.65,(2.37),3.9,(2.36),95,PROPN
helpless,206,2.2,(1.21),4.87,(2.59),2.53,(1.88),21,PROPN
heroin,789,3.85,(2.35),4.45,(2.98),4.2,(2.55),2,PROPN
hide,207,5.07,(1.67),4.47,(2.50),4.27,(2.43),22,PROPN
highway,562,6.04,(1.67),4.8,(2.60),5.64,(1.98),40,PROPN
hinder,790,3.86,(1.64),4.09,(1.93),4.18,(1.68),.,PROPN
history,208,6.0,(1.79),4.12,(2.18),5.19,(2.07),286,PROPN
hit,594,5.44,(2.16),5.4,(2.43),5.67,(2.08),115,NOUN
holiday,791,7.3,(2.36),7.1,(2.29),6.9,(1.80),17,NUM
home,209,7.71,(1.96),4.29,(2.73),6.35,(2.29),547,NOUN
honest,210,7.21,(1.53),5.71,(1.44),5.21,(2.19),47,PROPN
honey,792,6.53,(1.87),4.53,(2.14),5.68,(1.42),25,PROPN
honor,211,7.6,(1.18),6.13,(1.51),6.14,(2.35),66,PROPN
hooker,793,4.53,(2.46),6.0,(2.13),6.11,(2.23),.,NOUN
hope,794,6.67,(1.57),4.84,(2.57),5.32,(2.26),178,PROPN
hopeful,212,7.07,(1.03),6.27,(1.22),5.47,(1.92),12,VERB
horror,213,3.18,(2.32),6.44,(2.13),4.62,(2.47),17,VERB
horse,214,5.6,(0.97),3.5,(1.78),4.2,(1.32),117,VERB
hospital,215,5.05,(1.85),5.0,(2.41),4.8,(1.67),110,NOUN
hostage,216,2.25,(1.59),5.5,(3.00),3.2,(2.46),2,PROPN
hostile,217,3.33,(1.63),6.8,(2.04),5.73,(2.96),19,PROPN
hotel,795,6.67,(1.41),5.26,(2.66),5.33,(2.06),126,VERB
house,563,7.29,(1.55),4.04,(2.58),6.38,(1.84),591,PROPN
hug,218,7.67,(0.98),5.55,(2.21),5.27,(1.68),3,PROPN
humane,796,6.17,(1.76),4.83,(1.34),5.67,(1.57),5,PROPN
humble,219,6.0,(1.58),3.53,(2.35),5.06,(2.30),18,PROPN
humiliate,797,2.2,(1.15),6.35,(2.30),2.9,(1.92),.,PROPN
humor,220,8.2,(0.92),4.3,(2.45),5.2,(2.15),47,PROPN
hungry,221,3.67,(2.32),5.2,(2.73),4.67,(2.16),23,PROPN
hurricane,798,4.19,(2.34),6.67,(2.15),3.76,(2.07),8,PROPN
hurt,222,2.55,(1.51),6.27,(2.76),3.82,(2.23),37,PROPN
hydrant,564,5.08,(0.86),3.64,(1.78),5.52,(0.96),.,VERB
icebox,799,5.0,(0.88),4.84,(1.80),5.0,(1.11),3,NOUN
idea,800,6.43,(1.12),5.57,(1.78),5.62,(1.72),195,VERB
identity,801,6.23,(2.16),5.09,(2.33),6.32,(1.78),55,VERB
idiot,223,3.4,(2.32),4.8,(2.37),4.4,(2.29),2,PROPN
idol,802,5.71,(1.74),4.76,(2.23),5.52,(2.06),7,PROPN
ignorance,803,2.9,(1.74),3.85,(2.21),4.45,(2.42),16,PROPN
illness,804,2.7,(1.45),4.6,(2.28),3.7,(1.98),20,NOUN
imagine,805,7.1,(1.62),5.6,(2.09),6.5,(2.12),61,PROPN
immature,806,4.1,(1.73),4.19,(2.02),4.95,(2.13),7,NOUN
immoral,807,3.75,(2.31),4.75,(2.47),4.65,(2.68),5,NOUN
impair,808,3.42,(1.43),3.47,(1.81),4.21,(1.84),4,PROPN
impotent,224,3.24,(2.36),4.69,(3.05),4.25,(2.82),2,NOUN
impressed,225,6.77,(2.05),5.77,(2.49),5.93,(1.82),30,PROPN
improve,226,7.35,(1.27),5.56,(2.31),5.94,(2.43),39,NOUN
incentive,809,7.05,(1.47),5.7,(2.23),5.95,(1.54),12,NOUN
indifferent,810,4.8,(1.51),3.2,(1.74),4.7,(1.84),11,NOUN
industry,227,5.8,(1.32),4.73,(2.37),5.67,(1.91),171,NOUN
infant,811,6.05,(2.15),4.64,(2.70),5.55,(2.44),11,NOUN
infatuation,516,6.96,(1.95),7.08,(2.02),5.48,(2.37),4,VERB
infection,228,1.93,(1.87),4.73,(2.71),4.0,(2.70),8,PROPN
